player_name,team,conf,GP,Min_per,dunksmade,stops,pts
Dishawn Bradshaw,Maryland Eastern Shore,MEAC,29,60.2,0,103065,8.4483
Joseph Swift,Maryland Eastern Shore,MEAC,26,31.8,0,74.1444,3.3462
Kevin Williams,Maryland Eastern Shore,MEAC,4,1.4,0,3.61956,0.5
Michael Spence,Maryland Eastern Shore,MEAC,14,3.8,0,6.29916,0.7143
Daniel West,Rhode Island,A10,19,24.2,0,66.6992,4.3684
Levan Shengelia,Rhode Island,A10,1,0.1,,1.0913,0
Trinity Hall,UMKC,Sum,27,54.7,12,110433,7.5926
Darrell Lampley,Eastern Michigan,MAC,28,50.2,0,96189,5.9643
Derek Thompson,Eastern Michigan,MAC,27,56.4,0,100048,9.0741
Dartaye Ruffin,Drexel,CAA,31,57.9,6,147802,8.4194
Trent Meyer,UNC Asheville,BSth,28,23,0,49.8826,1.8929
Sandi Marcius,Purdue,B10,22,8.3,0,22.9741,0.9545
Adrian Burton,Eastern Michigan,MAC,21,19.5,0,43.2378,2.1905
Frantz Massenat,Drexel,CAA,31,71.5,3,137738,5.5161
